,PRE038
FDPS,0.28757858
RUSC1,0.055372566
ASH1L,0.30742803
MSTO1,0.021804439
YY1AP1,0.07719667
DAP3,0.1074026
GON4L,0.084346205
SYT11,0.028438494
RIT1,0.13852598
KHDC4,0.07876191
ARHGEF2,0.032014165
SSR2,0.44439772
UBQLN4,0.052575655
LAMTOR2,0.54965794
RAB25,0.03706642
LMNA,0.34714162
SEMA4A,0.01835957
SLC25A44,0.11551011
PMF1,0.17406705
SMG5,0.114186145
TMEM79,0.006583192
GLMP,0.19840813
CCT3,0.3439536
MEF2D,0.0859073
NAXE,0.26244542
GPATCH4,0.04646495
NES,0.0726631
CRABP2,0.0023125273
ISG20L2,0.059361387
METTL25B,0.04883135
MRPL24,0.19232452
HDGF,0.25286642
PRCC,0.093100816
SH2D2A,0.0065520937
PEAR1,0.046075612
ARHGEF11,0.040202852
ETV3,0.030915689
CD5L,0.0
KIRREL1,0.041949008
CD1D,0.0027627365
CD1C,0.0023199462
MNDA,0.019836063
PYHIN1,0.018075436
IFI16,0.14762835
ACKR1,0.011030123
FCER1A,0.009582195
ENSG00000228560,0.0
APCS,0.0
DUSP23,0.40901256
FCRL6,0.0024138803
TAGLN2,0.37500578
PIGM,0.054415766
IGSF8,0.07011202
ATP1A2,0.033619322
PEA15,0.103605196
DCAF8,0.14775273
PEX19,0.13692912
COPA,0.2280077
NCSTN,0.12761952
SLAMF6,0.008708077
CD84,0.013257383
SLAMF1,0.003000535
CD48,0.013429653
SLAMF7,0.0025660868
LY9,0.0
CD244,0.0
ITLN1,0.0
F11R,0.07733442
TSTD1,0.57010025
USF1,0.0553115
ARHGAP30,0.0065998295
NECTIN4,0.0016076209
KLHDC9,0.040397175
PFDN2,0.43557006
NIT1,0.15809011
DEDD,0.050155457
UFC1,0.37515152
USP21,0.011833682
PPOX,0.047089085
B4GALT3,0.05371026
ADAMTS4,0.0
NDUFS2,0.40222037
FCER1G,0.04136055
APOA2,0.01264758
TOMM40L,0.025996089
SDHC,0.6425318
FCGR2A,0.036549088
HSPA6,0.0045264624
FCGR3A,0.020379199
FCGR3B,0.0
FCGR2B,0.007232846
FCRLB,0.045474146
DUSP12,0.06694515
ATF6-DT,0.0007938379
ATF6,0.19047572
OLFML2B,0.008038576
SH2D1B,0.0032137576
UHMK1,0.26436356
UAP1,0.06952566
DDR2,0.035658497
HSD17B7,0.017124282
RGS4,0.0060507944
RGS5,0.0
ENSG00000232995,0.0
PBX1,0.45102316
MGST3,1.0526054
